"V1","V2","V3","V4","V5"
"9","2011","Athens, GA, USA","13","17"
"4","2011","Athens, GA, USA","13","22"
"10","2011","Athens, GA, USA","17","23"
"4","2011","Athens, GA, USA","11","17"
"4","2011","Athens, GA, USA","12","19"
"8","2011","Athens, GA, USA","15","22"
"3","2011","Athens, GA, USA","11","19"
"4","2011","Athens, GA, USA","16","26"
"13","2011","Athens, GA, USA","19","24"
"7","2011","Athens, GA, USA","12","18"
"2","2011","Athens, GA, USA","11","20"
"7","2011","Athens, GA, USA","13","19"
"3","2011","Athens, GA, USA","7","10"
"7","2011","Athens, GA, USA","11","14"
"3","2011","Athens, GA, USA","9","14"
"-1","2011","Athens, GA, USA","7","14"
"3","2011","Athens, GA, USA","9","16"
"11","2011","Athens, GA, USA","13","14"
"6","2011","Athens, GA, USA","9","13"
"3","2011","Athens, GA, USA","8","13"
"1","2011","Athens, GA, USA","12","23"
"8","2011","Athens, GA, USA","17","25"
"9","2011","Athens, GA, USA","17","25"
"7","2011","Athens, GA, USA","11","13"
"7","2011","Athens, GA, USA","13","18"
"3","2011","Athens, GA, USA","14","25"
"10","2011","Athens, GA, USA","19","29"
"13","2011","Athens, GA, USA","22","29"
"13","2011","Athens, GA, USA","15","17"
"13","2011","Athens, GA, USA","20","26"
"11","2011","Athens, GA, USA","20","29"
"15","2011","Athens, GA, USA","21","26"
"7","2011","Athens, GA, USA","17","26"
"2","2011","Athens, GA, USA","11","19"
"7","2011","Athens, GA, USA","11","14"
"6","2011","Athens, GA, USA","8","9"
"4","2011","Athens, GA, USA","7","9"
"4","2011","Athens, GA, USA","9","14"
"10","2011","Athens, GA, USA","12","13"
"7","2011","Athens, GA, USA","12","17"
"4","2011","Athens, GA, USA","10","16"
"5","2011","Athens, GA, USA","13","21"
"4","2011","Athens, GA, USA","15","26"
"8","2011","Athens, GA, USA","19","29"
"5","2011","Athens, GA, USA","11","16"
"2","2011","Athens, GA, USA","12","22"
"5","2011","Athens, GA, USA","15","24"
"14","2011","Athens, GA, USA","21","27"
"17","2011","Athens, GA, USA","23","30"
"14","2011","Athens, GA, USA","23","31"
"16","2011","Athens, GA, USA","22","28"
"11","2011","Athens, GA, USA","17","23"
"8","2011","Athens, GA, USA","17","26"
"7","2011","Athens, GA, USA","17","26"
"11","2011","Athens, GA, USA","17","23"
"10","2011","Athens, GA, USA","15","20"
"6","2011","Athens, GA, USA","14","23"
"7","2011","Athens, GA, USA","17","26"
"13","2011","Athens, GA, USA","22","30"
"14","2011","Athens, GA, USA","21","27"
"16","2011","Athens, GA, USA","23","29"
"11","2011","Athens, GA, USA","15","18"
"11","2011","Athens, GA, USA","17","23"
"12","2011","Athens, GA, USA","21","29"
"18","2011","Athens, GA, USA","24","29"
"18","2011","Athens, GA, USA","23","28"
"18","2011","Athens, GA, USA","24","29"
"12","2011","Athens, GA, USA","19","25"
"9","2011","Athens, GA, USA","17","24"
"8","2011","Athens, GA, USA","18","27"
"12","2011","Athens, GA, USA","19","27"
"14","2011","Athens, GA, USA","21","27"
"11","2011","Athens, GA, USA","20","29"
"8","2011","Athens, GA, USA","14","21"
"3","2011","Athens, GA, USA","12","21"
"7","2011","Athens, GA, USA","15","23"
"8","2011","Athens, GA, USA","17","26"
"12","2011","Athens, GA, USA","21","29"
"16","2011","Athens, GA, USA","23","30"
"16","2011","Athens, GA, USA","24","33"
"17","2011","Athens, GA, USA","25","33"
"17","2011","Athens, GA, USA","25","32"
"17","2011","Athens, GA, USA","24","32"
"17","2011","Athens, GA, USA","22","27"
"13","2011","Athens, GA, USA","18","23"
"11","2011","Athens, GA, USA","14","18"
"8","2011","Athens, GA, USA","15","21"
"7","2011","Athens, GA, USA","15","23"
"10","2011","Athens, GA, USA","19","27"
"12","2011","Athens, GA, USA","22","32"
"16","2011","Athens, GA, USA","24","33"
"17","2011","Athens, GA, USA","26","35"
"16","2011","Athens, GA, USA","26","34"
"18","2011","Athens, GA, USA","26","34"
"17","2011","Athens, GA, USA","26","34"
"16","2011","Athens, GA, USA","25","33"
"16","2011","Athens, GA, USA","22","28"
"18","2011","Athens, GA, USA","24","29"
"18","2011","Athens, GA, USA","26","33"
"19","2011","Athens, GA, USA","26","33"
"19","2011","Athens, GA, USA","27","35"
"21","2011","Athens, GA, USA","29","37"
"22","2011","Athens, GA, USA","29","37"
"22","2011","Athens, GA, USA","29","36"
"21","2011","Athens, GA, USA","28","35"
"21","2011","Athens, GA, USA","28","36"
"20","2011","Athens, GA, USA","27","34"
"19","2011","Athens, GA, USA","27","34"
"21","2011","Athens, GA, USA","28","36"
"21","2011","Athens, GA, USA","29","37"
"18","2011","Athens, GA, USA","27","34"
"19","2011","Athens, GA, USA","27","35"
"18","2011","Athens, GA, USA","27","36"
