"V1","V2","V3","V4","V5"
"-9","2010","Knoxville, TN, USA","-3","3"
"-7","2010","Knoxville, TN, USA","-2","3"
"-1","2010","Knoxville, TN, USA","5","10"
"4","2010","Knoxville, TN, USA","11","17"
"7","2011","Knoxville, TN, USA","12","16"
"-3","2011","Knoxville, TN, USA","2","7"
"-6","2011","Knoxville, TN, USA","1","7"
"-3","2011","Knoxville, TN, USA","3","10"
"-3","2011","Knoxville, TN, USA","1","4"
"0","2011","Knoxville, TN, USA","3","6"
"1","2011","Knoxville, TN, USA","3","6"
"-8","2011","Knoxville, TN, USA","-3","2"
"-11","2011","Knoxville, TN, USA","-6","-1"
"-5","2011","Knoxville, TN, USA","-2","0"
"-2","2011","Knoxville, TN, USA","0","2"
"-6","2011","Knoxville, TN, USA","-4","-2"
"-7","2011","Knoxville, TN, USA","-4","-1"
"-11","2011","Knoxville, TN, USA","-4","2"
"-6","2011","Knoxville, TN, USA","1","7"
"-1","2011","Knoxville, TN, USA","4","10"
"-1","2011","Knoxville, TN, USA","3","7"
"2","2011","Knoxville, TN, USA","4","7"
"2","2011","Knoxville, TN, USA","4","7"
"0","2011","Knoxville, TN, USA","4","8"
"-6","2011","Knoxville, TN, USA","-2","1"
"-5","2011","Knoxville, TN, USA","-1","4"
"-6","2011","Knoxville, TN, USA","1","6"
"-1","2011","Knoxville, TN, USA","6","13"
"2","2011","Knoxville, TN, USA","5","7"
"-1","2011","Knoxville, TN, USA","3","6"
"-2","2011","Knoxville, TN, USA","3","7"
"0","2011","Knoxville, TN, USA","6","11"
"-3","2011","Knoxville, TN, USA","7","17"
"1","2011","Knoxville, TN, USA","11","20"
"8","2011","Knoxville, TN, USA","12","16"
"8","2011","Knoxville, TN, USA","13","17"
"-3","2011","Knoxville, TN, USA","6","13"
"-5","2011","Knoxville, TN, USA","-1","2"
"1","2011","Knoxville, TN, USA","2","3"
"-1","2011","Knoxville, TN, USA","4","9"
"0","2011","Knoxville, TN, USA","4","9"
"-2","2011","Knoxville, TN, USA","4","11"
"-5","2011","Knoxville, TN, USA","-1","4"
"-6","2011","Knoxville, TN, USA","-1","4"
